id,color,turn,p,i,d
1,21,-9,-0.324,-0.00105,-9.1125
2,21,0,-0.324,-0.003149,0
3,21,0,-0.324,-0.005249,0
4,21,0,-0.324,-0.007348,0
5,21,0,-0.324,-0.009448,0
6,21,0,-0.324,-0.011547,0
7,20,9,0,-0.012597,9.1125
8,20,0,0,-0.012597,0
9,21,0,0,-0.012597,0
10,21,0,0,-0.012597,0
11,21,-9,-0.324,-0.013647,-9.1125
12,20,9,0,-0.014697,9.1125
13,21,0,0,-0.014697,0
14,21,0,0,-0.014697,0
15,20,0,0,-0.014697,0
16,21,0,0,-0.014697,0
17,21,0,0,-0.014697,0
18,21,-9,-0.324,-0.015746,-9.1125
19,21,0,-0.324,-0.017846,0
20,21,0,-0.324,-0.019945,0
21,20,9,0,-0.020995,9.1125
22,20,0,0,-0.020995,0
23,20,0,0,-0.020995,0
24,21,0,0,-0.020995,0
25,21,0,0,-0.020995,0
26,21,-9,-0.324,-0.022045,-9.1125
27,20,9,0,-0.023095,9.1125
28,22,-9,-0.324,-0.024144,-9.1125
29,21,0,-0.324,-0.026244,0
30,21,0,-0.324,-0.028344,0
31,21,0,-0.324,-0.030443,0
32,20,9,0,-0.031493,9.1125
33,20,0,0,-0.031493,0
34,20,0,0,-0.031493,0
35,20,0,0,-0.031493,0
36,20,0,0,-0.031493,0
37,20,0,0,-0.031493,0
38,19,9,0.324,-0.030443,9.1125
39,19,0,0.324,-0.028344,0
40,19,0,0.324,-0.026244,0
41,19,0,0.324,-0.024144,0
42,17,9,0.648,-0.020995,9.1125
43,18,0,0.648,-0.016796,0
44,18,10,0.972,-0.011547,9.1125
45,17,0,0.972,-0.005249,0
46,17,0,0.972,0.00105,0
47,17,0,0.972,0.007348,0
48,17,0,0.972,0.013647,0
49,16,10,1.296,0.020995,9.1125
50,16,1,1.296,0.029393,0
51,16,1,1.296,0.037791,0
52,16,1,1.296,0.046189,0
53,17,1,1.296,0.054588,0
54,17,1,1.296,0.062986,0
55,17,-8,0.972,0.070334,-9.1125
56,17,1,0.972,0.076632,0
57,17,1,0.972,0.082931,0
58,15,10,1.296,0.090279,9.1125
59,15,10,1.62,0.099727,9.1125
60,15,1,1.62,0.110225,0
61,15,1,1.62,0.120722,0
62,15,1,1.62,0.13122,0
63,15,1,1.62,0.141718,0
64,15,1,1.62,0.152215,0
65,11,20,2.268,0.164812,18.225
66,10,11,2.592,0.180559,9.1125
67,10,21,3.24,0.199454,18.225
68,10,3,3.24,0.22045,0
69,9,12,3.564,0.242495,9.1125
70,9,3,3.564,0.265589,0
71,9,3,3.564,0.288684,0
72,9,3,3.564,0.311779,0
73,9,3,3.564,0.334874,0
74,8,13,3.888,0.359018,9.1125
75,8,4,3.888,0.384212,0
76,9,4,3.888,0.409406,0
77,9,4,3.888,0.434601,0
78,9,-5,3.564,0.458745,-9.1125
79,9,4,3.564,0.48184,0
80,9,4,3.564,0.504935,0
81,9,4,3.564,0.528029,0
82,8,13,3.888,0.552174,9.1125
83,8,4,3.888,0.577368,0
84,8,4,3.888,0.602562,0
85,8,4,3.888,0.627757,0
86,8,4,3.888,0.652951,0
87,8,4,3.888,0.678145,0
88,8,4,3.888,0.703339,0
89,8,4,3.888,0.728533,0
90,9,4,3.888,0.753728,0
91,9,4,3.888,0.778922,0
92,8,4,3.888,0.804116,0
93,8,4,3.888,0.82931,0
94,8,4,3.888,0.854505,0
95,7,14,4.212,0.880749,9.1125
96,7,5,4.212,0.908042,0
97,7,5,4.212,0.935336,0
98,7,5,4.212,0.96263,0
99,7,5,4.212,0.989924,0
100,7,5,4.212,1.017218,0
101,7,5,4.212,1.044511,0
102,8,5,4.212,1.071805,0
103,8,5,4.212,1.099099,0
104,8,-4,3.888,1.125343,-9.1125
105,8,5,3.888,1.150537,0
106,7,14,4.212,1.176781,9.1125
107,7,5,4.212,1.204075,0
108,7,5,4.212,1.231369,0
109,7,5,4.212,1.258662,0
110,7,5,4.212,1.285956,0
111,7,5,4.212,1.31325,0
112,7,5,4.212,1.340544,0
113,7,5,4.212,1.367838,0
114,11,-3,3.888,1.394081,-9.1125
115,12,-13,3.24,1.417176,-18.225
116,11,-4,2.916,1.437122,-9.1125
117,11,4,2.916,1.456017,0
118,11,4,2.916,1.474913,0
119,10,13,3.24,1.494859,9.1125
120,10,4,3.24,1.515854,0
121,10,4,3.24,1.536849,0
122,10,4,3.24,1.557844,0
123,10,4,3.24,1.578839,0
124,11,4,3.24,1.599834,0
125,11,4,3.24,1.62083,0
126,11,-4,2.916,1.640775,-9.1125
127,10,14,3.24,1.660721,9.1125
128,10,4,3.24,1.681716,0
129,10,4,3.24,1.702711,0
130,10,4,3.24,1.723706,0
131,8,14,3.564,1.745751,9.1125
